CUST_ID,DIVIDED_SET,SIU_CUST_YN,SEX,AGE,RESI_COST,RESI_TYPE_CODE,FP_CAREER,CTPR,OCCP_GRP_1,TOTALPREM,WEDD_YN,MATE_OCCP_GRP_1,CHLD_CNT,LTBN_CHLD_AGE,MAX_PRM,CUST_INCM,RCBASE_HSHD_INCM,JPBASE_HSHD_INCM
1,1,N,2,4,21111,20.0,N,충북,사무직,146980441.0,Y,사무직,2.0,1.0,319718.0,4879.0,10094,11337.0
2,1,N,1,5,40000,20.0,N,서울,사무직,94600109.0,Y,주부,2.0,1.0,341341.0,6509.0,9143,6509.0
3,1,N,1,6,0,20.0,N,서울,서비스,18501269.0,N,n,0.0,0.0,131300.0,4180.0,0,4180.0
4,1,N,2,6,12861,40.0,Y,경기,자영업,317223657.0,N,n,0.0,0.0,1493184.0,4813.8378378378375,4270,5914.0
5,1,N,2,5,0,20.0,Y,광주,자영업,10506072.0,Y,사무직,3.0,1.0,166760.0,3894.0,0,8885.0
6,1,N,1,6,6218,99.0,N,충남,사무직,22313040.0,Y,주부,1.0,3.0,82850.0,5403.133333333333,0,6449.0
7,1,Y,2,6,11388,30.0,N,서울,서비스,46522197.0,Y,n,1.0,2.0,482077.0,3611.0,0,3611.0
8,1,N,1,5,86527,20.0,Y,서울,자영업,151085847.0,Y,자영업,1.0,2.0,10283415.0,6465.0,12219,12063.0
9,1,N,1,5,22638,20.0,N,서울,전문직,3666050.0,Y,전문직,1.0,1.0,29.0,4975.0,7553,9821.0
12,1,N,1,5,37222,20.0,N,서울,전문직,135719262.0,Y,전문직,2.0,2.0,724768.0,8780.0,10466,13858.0
13,1,Y,1,6,8140,50.0,N,경기,제조업,33261687.0,Y,서비스,0.0,0.0,483850.0,4322.930232558139,4066,0.0
15,1,N,1,5,23055,20.0,N,서울,사무직,33336919.0,Y,주부,0.0,0.0,594075.0,4362.0,6654,4362.0
16,1,N,2,5,6684,12.0,N,전북,주부,77429702.0,Y,사무직,0.0,0.0,2062433.0,0.0,5285,5620.0
17,1,N,1,6,14027,20.0,N,대구,서비스,10122595.0,Y,주부,0.0,0.0,229500.0,3881.65,4538,5869.0
18,1,N,1,4,33333,20.0,N,경기,서비스,10317997.0,Y,사무직,4.0,0.0,458095.0,5911.0,9026,10079.0
19,1,N,1,6,15833,20.0,N,경기,자영업,11323581.0,Y,주부,1.0,3.0,300000.0,4813.8378378378375,5075,6120.0
20,1,N,1,5,28888,20.0,N,경기,자영업,52994443.0,Y,서비스,2.0,2.0,130000.0,6024.0,9441,9481.0
21,1,N,2,6,8802,11.0,N,경북,주부,13105235.0,Y,n,2.0,2.0,112749.0,0.0,3973,3922.0
22,1,N,2,5,4309,12.0,Y,경기,자영업,56516442.0,Y,자영업,2.0,2.0,466370.0,3825.0,5206,10174.0
23,1,N,1,8,7813,40.0,N,대구,서비스,7282800.0,Y,서비스,0.0,0.0,60690.0,0.0,1274,1379.0
24,1,N,2,5,1471,11.0,N,부산,자영업,69535310.0,Y,사무직,1.0,3.0,588610.0,3794.0,4534,9050.0
25,1,N,2,4,30000,20.0,N,경기,주부,50382067.0,Y,서비스,2.0,1.0,2191266.0,0.0,7591,5323.0
26,1,Y,2,5,15555,20.0,Y,광주,자영업,110828477.0,Y,자영업,2.0,2.0,1957263.0,3866.0,6381,9091.0
27,1,N,1,5,36111,20.0,N,서울,제조업,17240200.0,Y,전문직,2.0,2.0,202450.0,5632.0,10707,10737.0
28,1,N,1,6,17777,20.0,N,인천,사무직,210810180.0,Y,자영업,1.0,2.0,2664440.0,5403.133333333333,6889,0.0
29,1,N,2,3,0,20.0,N,울산,사무직,20961533.0,Y,서비스,3.0,1.0,467400.0,3574.0,0,7331.0
30,1,N,2,5,4865,30.0,N,대구,주부,11461734.0,Y,기타,0.0,0.0,200000.0,0.0,3998,3921.0
31,1,N,2,5,10683,99.0,N,부산,자영업,35723494.0,Y,n,2.0,2.0,298100.0,4688.0,0,4688.0
32,1,N,2,5,15194,99.0,Y,서울,주부,38109169.0,Y,서비스,4.0,2.0,918350.0,0.0,0,4909.0
33,1,N,2,4,8888,20.0,N,경남,기타,16398268.0,Y,자영업,1.0,2.0,304417.0,2858.0,0,9147.0
34,1,N,2,4,18888,20.0,N,대구,주부,19827388.0,Y,서비스,2.0,1.0,101680.0,0.0,0,5369.0
35,1,N,1,5,34631,20.0,N,서울,서비스,32935106.0,Y,주부,2.0,2.0,434539.0,5557.0,9811,5557.0
36,1,N,1,4,6569,99.0,N,전남,1차산업,37102242.0,N,n,0.0,0.0,211030.0,3560.0,0,3560.0
37,2,,2,4,14027,20.0,N,경북,주부,53761263.0,Y,사무직,2.0,1.0,442430.0,0.0,5923,5384.0
38,1,N,2,4,13427,40.0,N,서울,주부,39052796.0,Y,자영업,2.0,1.0,387659.0,0.0,5233,4559.0
39,1,N,2,4,8147,40.0,N,경기,주부,28755148.0,Y,제조업,2.0,0.0,198400.0,0.0,4168,4709.0
40,1,N,1,5,7916,20.0,N,전북,사무직,23070333.0,Y,주부,2.0,2.0,239603.0,4737.0,5426,4737.0
41,1,N,2,4,15311,40.0,N,서울,주부,15284369.0,Y,기타,2.0,1.0,370911.0,0.0,6169,3161.0
42,1,N,2,5,10000,30.0,Y,경기,주부,14661864.0,Y,사무직,1.0,3.0,190250.0,0.0,5753,5735.0
43,1,N,2,4,27777,20.0,N,경남,서비스,23479401.0,Y,제조업,1.0,1.0,156900.0,3748.0,8206,7237.0
